Time,Open,High,Low,Latest,Change,%Change,Volume
2021-12-13,1.273,1.28207,1.27051,1.28016,0.00817,+0.64%,158034
2021-12-14,1.28015,1.28645,1.2797,1.28612,0.00596,+0.47%,176177
2021-12-15,1.2861,1.29358,1.28306,1.28315,-0.00297,-0.23%,214751
2021-12-16,1.28314,1.2857,1.27633,1.27701,-0.00614,-0.48%,222049
2021-12-17,1.27699,1.29002,1.2769,1.28816,0.01115,+0.87%,221209
2021-12-20,1.28905,1.29633,1.28808,1.29369,0.00553,+0.43%,220931
2021-12-21,1.29368,1.29462,1.29117,1.29117,-0.00252,-0.19%,162715
2021-12-22,1.29117,1.29238,1.28318,1.28336,-0.00781,-0.60%,140459
2021-12-23,1.28335,1.28531,1.27978,1.27979,-0.00357,-0.28%,124575
2021-12-24,1.27977,1.28331,1.27842,1.2803,0.00051,+0.04%,260729
2021-12-27,1.28087,1.28468,1.27787,1.27818,-0.00212,-0.17%,88503
2021-12-28,1.27816,1.28312,1.2769,1.27966,0.00148,+0.12%,101809
2021-12-29,1.27954,1.28342,1.2786,1.27874,-0.00092,-0.07%,116715
2021-12-30,1.2787,1.28118,1.27332,1.27366,-0.00508,-0.40%,116593
2021-12-31,1.27364,1.275,1.26202,1.26355,-0.01011,-0.79%,131049
2022-01-03,1.26374,1.27781,1.26284,1.27413,0.01058,+0.84%,124842
2022-01-04,1.27412,1.27655,1.2667,1.26954,-0.00459,-0.36%,136801
2022-01-05,1.26953,1.27658,1.26879,1.2754,0.00586,+0.46%,159375
2022-01-06,1.2754,1.28131,1.27066,1.27216,-0.00324,-0.25%,197687
2022-01-07,1.27222,1.273,1.26314,1.26359,-0.00857,-0.67%,172648
2022-01-10,1.265,1.26971,1.261,1.26712,0.00353,+0.28%,184432
2022-01-11,1.26711,1.26796,1.25672,1.25714,-0.00998,-0.79%,179967
2022-01-12,1.25712,1.2579,1.24952,1.25075,-0.00639,-0.51%,169283
2022-01-13,1.25073,1.25207,1.24532,1.25179,0.00104,+0.08%,168772
2022-01-14,1.25177,1.25701,1.24708,1.25422,0.00243,+0.19%,197152
2022-01-17,1.25325,1.25556,1.24999,1.25108,-0.00314,-0.25%,127735
2022-01-18,1.25103,1.2563,1.24854,1.2509,-0.00018,-0.01%,212030
2022-01-19,1.25091,1.25242,1.24507,1.2514,0.0005,+0.04%,208936
2022-01-20,1.25139,1.25158,1.24531,1.2499,-0.0015,-0.12%,187842
2022-01-21,1.24987,1.25871,1.24967,1.25665,0.00675,+0.54%,236230
2022-01-24,1.25823,1.27011,1.25539,1.26313,0.00648,+0.52%,261423
2022-01-25,1.2631,1.26686,1.25972,1.26238,-0.00075,-0.06%,256811
2022-01-26,1.26233,1.26878,1.25592,1.26637,0.00399,+0.32%,253209
2022-01-27,1.26637,1.27473,1.26502,1.27398,0.00761,+0.60%,287875
2022-01-28,1.27396,1.27963,1.27126,1.27581,0.00183,+0.14%,253698
2022-01-31,1.27703,1.27756,1.26818,1.27027,-0.00554,-0.43%,198982
2022-02-01,1.27025,1.27257,1.26551,1.26802,-0.00225,-0.18%,191231
2022-02-02,1.26801,1.27053,1.265,1.26647,-0.00155,-0.12%,169996
2022-02-03,1.26644,1.27148,1.26575,1.26751,0.00104,+0.08%,199511
2022-02-04,1.2675,1.27874,1.26623,1.2754,0.00789,+0.62%,215293
2022-02-07,1.27482,1.27551,1.26574,1.26665,-0.00875,-0.69%,183858
2022-02-08,1.26664,1.27203,1.26614,1.27017,0.00352,+0.28%,168412
2022-02-09,1.27023,1.27147,1.2665,1.2668,-0.00337,-0.27%,129758
2022-02-10,1.26678,1.27274,1.26359,1.27174,0.00494,+0.39%,199013
2022-02-11,1.27172,1.27531,1.26688,1.2728,0.00106,+0.08%,253222
2022-02-14,1.2737,1.27836,1.27194,1.27241,-0.00039,-0.03%,255911
2022-02-15,1.27244,1.27742,1.27008,1.27156,-0.00085,-0.07%,199723
2022-02-16,1.27153,1.27251,1.26633,1.26839,-0.00317,-0.25%,196906
2022-02-17,1.26838,1.27338,1.26756,1.27058,0.00219,+0.17%,244286
2022-02-18,1.27055,1.276,1.26734,1.27476,0.00418,+0.33%,209747
2022-02-21,1.27476,1.27598,1.27215,1.27514,0.00038,+0.03%,181397
2022-02-22,1.27501,1.27824,1.27186,1.27687,0.00173,+0.14%,261202
2022-02-23,1.27687,1.27709,1.26816,1.27335,-0.00352,-0.28%,199499
2022-02-24,1.27333,1.28768,1.27274,1.28133,0.00798,+0.63%,378164
2022-02-25,1.28129,1.28197,1.26928,1.26928,-0.01205,-0.94%,275290
2022-02-28,1.27898,1.28088,1.26598,1.2669,-0.00238,-0.19%,299210
2022-03-01,1.26694,1.27496,1.26533,1.27415,0.00725,+0.57%,256120
2022-03-02,1.27408,1.27445,1.26278,1.263,-0.01115,-0.88%,272037
2022-03-03,1.26299,1.26921,1.25867,1.268,0.005,+0.40%,244870
2022-03-04,1.26798,1.27915,1.2669,1.26897,0.00097,+0.08%,287325
2022-03-07,1.27371,1.28201,1.26854,1.28198,0.01301,+1.03%,331490
2022-03-08,1.28197,1.29001,1.2796,1.28731,0.00533,+0.42%,321096
2022-03-09,1.28727,1.28936,1.28025,1.28025,-0.00706,-0.55%,248303
2022-03-10,1.28028,1.28413,1.27501,1.2764,-0.00385,-0.30%,231650
2022-03-11,1.27638,1.27933,1.26935,1.2736,-0.0028,-0.22%,227977
2022-03-14,1.27276,1.28262,1.27227,1.28232,0.00872,+0.68%,221899
2022-03-15,1.28231,1.28708,1.27614,1.27645,-0.00587,-0.46%,219007
2022-03-16,1.27644,1.27772,1.26745,1.26758,-0.00887,-0.69%,241132
2022-03-17,1.26756,1.26979,1.26125,1.26267,-0.00491,-0.39%,205209
2022-03-18,1.26268,1.2646,1.2589,1.26021,-0.00246,-0.19%,179665
2022-03-21,1.2609,1.26214,1.25649,1.25915,-0.00106,-0.08%,173498
2022-03-22,1.25914,1.26232,1.25669,1.2568,-0.00235,-0.19%,182839
2022-03-23,1.2568,1.26051,1.25422,1.25568,-0.00112,-0.09%,167098
2022-03-24,1.25567,1.25858,1.25095,1.25251,-0.00317,-0.25%,181135
2022-03-25,1.25252,1.25528,1.24651,1.24748,-0.00503,-0.40%,180198
2022-03-28,1.24792,1.25923,1.24732,1.25163,0.00415,+0.33%,196660
2022-03-29,1.25162,1.25293,1.24695,1.24921,-0.00242,-0.19%,215624
2022-03-30,1.24913,1.2508,1.24296,1.24727,-0.00194,-0.16%,191744
2022-03-31,1.24724,1.2533,1.24642,1.25021,0.00294,+0.24%,186579
2022-04-01,1.25011,1.2539,1.24805,1.25033,0.00012,+0.01%,167411
2022-04-04,1.25204,1.25278,1.24679,1.24795,-0.00238,-0.19%,126141
2022-04-05,1.24798,1.24975,1.24025,1.24834,0.00039,+0.03%,157975
2022-04-06,1.24832,1.25571,1.24792,1.25421,0.00587,+0.47%,197432
2022-04-07,1.25419,1.26111,1.25325,1.25897,0.00476,+0.38%,185025
2022-04-08,1.25896,1.26187,1.25646,1.25654,-0.00243,-0.19%,161038
2022-04-11,1.25676,1.26402,1.25631,1.26261,0.00607,+0.48%,165639
2022-04-12,1.26262,1.26612,1.25813,1.26418,0.00157,+0.12%,195738
2022-04-13,1.26418,1.26757,1.25547,1.25614,-0.00804,-0.64%,189460
2022-04-14,1.25617,1.26414,1.25208,1.25954,0.0034,+0.27%,185137
2022-04-15,1.25939,1.26202,1.25908,1.261,0.00146,+0.12%,201003
